8 , 32.7324, 17 , 15
14 , 29.4308, 18 , 16
17 , 27.364, 19 , 17
28 , 26.1256, 20 , 18
32 , 24.9244, 21 , 19
36 , 23.0587, 22 , 20
40 , 22.2533, 23 , 21
46 , 21.8086, 24 , 22
57 , 21.5416, 27 , 25
61 , 20.0355, 28 , 26
75 , 18.8932, 32 , 29
114 , 18.6643, 40 , 37
138 , 17.4766, 44 , 41
326 , 17.1289, 66 , 61
339 , 16.6653, 67 , 62
351 , 16.4803, 68 , 63
375 , 15.017, 70 , 65
643 , 13.6824, 88 , 83
729 , 12.677, 93 , 88
1067 , 11.8986, 95 , 90
2957 , 11.07, 184 , 152
17039 , 10.7639, 401 , 332
17108 , 10.2712, 402 , 333
